5 1.196733e+00 3.652604e+00
10 4.447057e-01 8.373171e-01
15 1.309168e-01 3.430409e-03
20 8.099407e-02 1.095145e-02
25 3.100495e-02 1.107842e-02
30 7.553944e-03 2.405716e-02
35 7.771394e-03 3.028020e-02
40 7.777204e-03 3.053104e-02
45 7.777231e-03 3.054098e-02
50 7.777232e-03 3.054014e-02
55 7.777232e-03 3.054012e-02
60 7.777232e-03 3.054012e-02
65 7.777232e-03 3.054012e-02
70 7.777232e-03 3.054012e-02
75 7.777232e-03 3.054012e-02
80 7.777232e-03 3.054012e-02
85 7.777232e-03 3.054012e-02
90 7.777232e-03 3.054012e-02
95 7.777232e-03 3.054012e-02
100 7.777232e-03 3.054006e-02
105 7.777231e-03 3.053987e-02
110 7.777226e-03 3.052388e-02
115 7.779269e-03 3.061479e-02
120 8.167799e-03 3.130055e-02
125 1.484076e-02 3.248819e-02
130 1.492865e-02 3.361857e-02
135 1.492744e-02 3.150398e-02
140 1.492520e-02 3.149210e-02
145 1.492915e-02 3.149537e-02
150 1.492682e-02 3.152749e-02
155 1.493687e-02 3.146075e-02
160 5.104847e-02 1.648812e-01
165 2.425940e+01 8.739052e+01
170 2.605169e+04 9.388190e+04
